,RI,na2o,mg,al2o3,sio2,k2o,cao,bao,fe2o3,label
116,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,2
117,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0.0,0.0,2
118,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2
119,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,2
120,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0,2
121,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2
122,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,2
123,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,2
124,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0,2
125,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0.0,0.12,2
126,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2
127,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17,2
128,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2
129,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2
130,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,2
131,1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,2
132,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,2
133,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,2
134,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0,2
135,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,2
136,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2
137,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2
138,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2
139,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,2
140,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,2
141,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2
142,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
143,1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,2
144,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2
145,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2
146,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,3
147,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,3
148,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,3
149,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,3
150,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,3
151,1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3
152,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,3
153,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,3
154,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3
155,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,3
156,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,3
157,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,3
158,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,3
159,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3
160,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3
161,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
162,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3
163,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,5
164,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5
165,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5
166,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,5
167,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5
168,1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5
169,1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,5
170,1.52369,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0,5
171,1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5
172,1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,5
173,1.52043,13.38,0.0,1.4,72.25,0.33,12.5,0.0,0.0,5
174,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
175,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5
176,1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,6
177,1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,6
178,1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,6
179,1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0,6
180,1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,6
181,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6
182,1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,6
183,1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,6
184,1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,6
185,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0,7
186,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0,7
187,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7
188,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,7
189,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,7
190,1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,7
191,1.51602,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09,7
192,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,7
193,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,7
194,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,7
195,1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,7
196,1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,7
197,1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,7
198,1.51531,14.38,0.0,2.66,73.1,0.04,9.08,0.64,0.0,7
199,1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,7
200,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,7
201,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,7
202,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7
203,1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,7
204,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,7
205,1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,7
206,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,7
207,1.51831,14.39,0.0,1.82,72.86,1.41,6.47,2.88,0.0,7
208,1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0,7
209,1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,7
210,1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,7
211,1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,7
212,1.51651,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0,7
213,1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,7
214,1.5175298425078974,12.927433028430368,3.5798425078973244,1.4124094794669568,72.89324403790715,0.5579055047383946,8.448377981046422,0.0,0.14225198736428105,1
215,1.5223401675257766,13.194083484258067,3.6112082926997515,0.8422916376426796,72.13712480844168,0.1512082926997514,10.02733351908685,0.0,0.09241658539950276,1
216,1.5178389852003324,13.20300175589274,2.81299924747454,1.28900025084182,72.96700326094366,0.5139989966327201,9.0249987457909,0.0,0.08100225757637974,1
217,1.5207943447631558,14.512820620499115,3.782147422437611,0.3726648005538561,71.90518777700854,0.06673991135726937,9.261771868420544,0.0,0.0,1
218,1.517646685430557,12.593314569443049,3.5666403972202683,1.3500450333366827,73.24328079444054,0.5766629138886097,8.51334834444556,0.0,0.0,1
219,1.5178828512410676,12.745714672716877,3.5000013545090716,1.3414279909246836,72.93571264095327,0.632856659103903,8.682857336358438,0.0,0.0,1
220,1.5165773354131682,13.37901986507603,3.4228024958018515,1.2982236087788062,72.65093416526729,0.5272894435115225,8.611730421564507,0.0,0.018223608778806234,3
221,1.5166622319294842,13.164463858968235,3.479356630761882,1.6670373359207078,72.53382048973012,0.5902144564127061,8.394678315380942,0.0,0.15287529872223568,3
222,1.518166943885183,13.402276498663511,3.3485031174898245,1.578264028704212,72.05496882510175,0.5642515587449125,8.913471942591576,0.0,0.03826402870421202,3
223,1.5178015883325737,13.523761750113954,3.3996029168565904,1.5428735829155007,72.01920583371319,0.577920583371318,8.794158833257363,0.0,0.018714749658136992,3
224,1.516678385016391,13.196770032782,3.518124039338399,1.544273875428403,72.6048940721204,0.5772919868872004,8.414062019669199,0.0,0.1302609770526006,3
225,1.5219737871778183,14.169333226979331,3.7684140817914433,0.9291011083978907,71.38129303886979,0.24095965235944553,9.129040347640554,0.0,0.3584140817914433,3
226,1.5169133844264264,13.169965892826951,3.43265132520545,1.7253026504108997,72.4263768233623,0.5936913909838,8.476206287497051,0.0,0.14318841168114976,3
227,1.5175689105972725,13.244546714659744,3.389472954670674,1.6389459093413485,72.29291640534572,0.5779901653347906,8.715649978644443,0.0,0.07645820267286017,3
228,1.516432667370199,13.250642066080509,3.430242488199909,1.5466188725590202,72.56298154956038,0.5960484976399818,8.356290985839891,0.0,0.10282445987969155,3
229,1.5177826658865794,13.640733411342062,3.650733411342062,0.6837369217348547,72.98313153913257,0.06366705671031028,8.905797425711953,0.0,0.0,3
230,1.516250000402279,13.27818167921272,3.5081817596685134,1.4545457617403033,72.61818167921273,0.5709091201657432,8.34363640020718,0.0,0.04636376070440845,3
231,1.5164030566540374,13.383876738495534,3.435715707632817,1.2995924461283501,72.64979622306417,0.5330616307522335,8.545506953982134,0.0,0.0,3
232,1.517039693869178,13.513093446142705,3.505980126910542,1.206975475648918,72.6958422833273,0.34388202950621377,8.62852219872027,0.0,0.0,3
233,1.5195460385993145,13.892915906778825,3.618749499586055,1.2466674080206588,71.72916707441136,0.29687552821471946,9.135832703182441,0.0,0.04687508340232413,3
234,1.5165325274109573,13.410388279756507,3.3903882797565066,1.277670321460961,72.64194139878254,0.5227179582955456,8.637186768035285,0.0,0.0,3
235,1.5167272314125069,13.447311876317244,3.431975860856899,1.2535707542752859,72.66021059967184,0.4562588779580421,8.642226692433908,0.0,0.0,3
236,1.5169304746777474,13.238545157046422,3.4398928044054955,1.6993568264329715,72.36882084846046,0.5949464022027476,8.483598754843674,0.0,0.12704441872335476,3
237,1.5193480621432576,13.760153933805459,3.571107753663822,1.087310604445735,71.92492303309727,0.36365530222286746,9.185864766145391,0.0,0.0,3
238,1.5166793375582832,13.198675116566385,3.5204101398796617,1.5370345570477375,72.60908525644605,0.5765299533734461,8.41520506993983,0.0,0.12892741840353064,3
239,1.5165930834189925,13.417991279329248,3.3990336201113243,1.258110843576407,72.65250808938491,0.5040174413415035,8.659728513966042,0.0,0.0,3
240,1.5183990969160857,13.64,3.606773767245535,0.6892965752313316,72.86246198669035,0.09929657523133154,8.914281369907467,0.05894486284699729,0.09431178055519568,3
241,1.5206938815296178,13.922360319011208,3.69928017995504,0.6269198609438323,72.02735929653939,0.12379995910112718,9.440240621662868,0.0413998773033815,0.06623980368541041,3
242,1.5164870495718628,13.196291966083775,3.4737018804563267,1.6355651276042855,72.53629196608378,0.5881490597718367,8.365186324714797,0.0,0.11963350403030601,3
243,1.5164005039019373,13.08792741232827,3.42148470207819,1.2732213551250402,72.95380924071858,0.5266106775625201,8.53868326523425,0.0,0.0,3
244,1.521156523488945,14.023901801370934,3.7582799952584685,0.5810945484718836,71.80892005215685,0.1092181796629403,9.63874178714634,0.0,0.0,3
245,1.5168383836446304,13.02089256266842,3.575765985192936,1.3396381036494458,72.64810613326357,0.5888299259646815,8.64180948175277,0.0,0.04234014807063696,3
246,1.5198476587622942,13.832559240912214,3.6217914686385506,0.9511886270850355,71.8887203795439,0.29559431354251775,9.31040189436901,0.0,0.0,3
247,1.5185651912187443,13.522604730112786,3.548804645241541,0.934897550072364,72.6646744087359,0.27739526988721525,8.757930321376882,0.10597677379229428,0.19891165553947465,3
248,1.516699296008864,13.238592017728491,3.5683104212741896,1.385350332631732,72.69690243900268,0.5605631929086035,8.439155210637095,0.0,0.10098558759005592,3
249,1.5178713517462896,13.490231519182238,3.3960810317137837,1.5239768480817761,72.05988424040889,0.5760231519182238,8.82976848081776,0.0,0.0,3
250,1.518158351493539,13.38773160945027,3.3602060633075945,1.534226839054973,72.11113419527487,0.565773160945027,8.93226839054973,0.0,0.0,3
251,1.5165311157986479,13.332364949996546,3.392098244594688,1.275803510810624,72.71763505000345,0.52,8.635312287837184,0.0,0.0,3
252,1.5180993375858773,13.408808005043797,3.3675828017653293,1.5321191994956203,72.10059599747811,0.5678808005043798,8.911191994956202,0.0,0.0,3
253,1.516133164604669,13.419263008785133,3.3992630087851334,1.224421947289199,72.68631504392566,0.5848410614959344,8.344320710090596,0.0,0.0,3
254,1.5172922278090721,13.566258486120468,3.5657907968855254,1.1693169056646695,72.72464001331525,0.2530584195442028,8.617446148724902,0.0,0.0,3
255,1.5167443947601464,13.173165726537926,3.4465983870217514,1.7395903221305073,72.44258225723927,0.5982991935108756,8.41486653302705,0.0,0.15554314484244275,3
256,1.5177750038577789,13.641499614222102,3.651499614222102,0.7189822542166924,72.96550887289165,0.06749807111051004,8.880512730670633,0.0,0.0,3
257,1.5163477471966378,13.414494506741383,3.394494506741382,1.2530329595517078,72.6624725337069,0.5514615471896742,8.501681277534393,0.0,0.0,3
258,1.5161,13.338586910484137,3.5175966848562465,1.3285507860211507,72.6719082023298,0.5628623034947123,8.329045898835096,0.0,0.0,3
259,1.51666854091261,13.177081825219828,3.494498190263792,1.6190890641646587,72.56158001548363,0.5851672699120694,8.402249095131896,0.0,0.14404272234612137,3
260,1.5171361509827854,13.383507300213088,3.3734420626331802,1.366101274307462,72.4744206263318,0.5332463498934558,8.762593974094374,0.0,0.0,3
261,1.5163397320483822,13.16694950448535,3.4,1.2466368942647,72.90309515411761,0.5433854350367753,8.49313981272055,0.0,0.0,3
262,1.516589650402681,12.798601610724345,3.5495648893853864,1.3677389336312318,72.77765342033554,0.5640870221229227,8.476783199106304,0.0,0.05912977877077272,3
263,1.5172531923491457,13.586813987612285,3.5885723338225834,1.1402193972289072,72.74802225656079,0.24186646063523082,8.523077897962782,0.0,0.0,3
264,1.5192737101808254,13.74937828707615,3.5635648009533045,1.107568820296839,71.93031085646193,0.3737844101484195,9.167330653770977,0.0,0.0,3
265,1.516608097550059,13.163414625049242,3.5049024312918555,1.334048775029545,72.81870733117368,0.5446829250098485,8.49360976246553,0.0,0.06170731252462102,3
266,1.51644981635434,13.048203492337159,3.4036774275994164,1.2622630323688717,73.0003821124323,0.5211315161844359,8.572928023847275,0.0,0.0,3
267,1.5161679887790802,13.342086894058713,3.5088479353972515,1.330934829455965,72.66546741472798,0.5539565529706434,8.378347576234853,0.0,0.0,3
268,1.5168672283458722,13.476784914920431,3.4651330292854845,1.2326940185980284,72.67617516224857,0.405909103677598,8.636086476058244,0.0,0.0,3
269,1.5211306625830419,14.02717040537322,3.6808863337054385,1.0799091422192482,71.49687125345439,0.31023487271464495,9.062124976482846,0.0,0.3039242224702924,3
270,1.5203265642864734,13.901965838619338,3.6703760870335365,0.8207042233956445,71.85401708069034,0.23035211169782227,9.429781242425262,0.0,0.0,3
271,1.5182973571898584,13.338086717907686,3.3428303512676902,1.5391913282092313,72.13595664104616,0.5608086717907687,8.981913282092314,0.0,0.0,3
272,1.5163430431726639,13.19401155815232,3.5444668555157106,1.3313198866905738,72.65263977338115,0.5744668555157106,8.463095070744538,0.0,0.0,3
273,1.5161499008693653,13.338871265664947,3.5144752850863434,1.3333465507512903,72.66667327537564,0.5555643671675268,8.365485062659786,0.0,0.0,3
274,1.516499540285168,13.202554505690335,3.3956066349813425,1.2687867300373155,72.84744549430967,0.52,8.610753555130604,0.0,0.0,3
275,1.5174490945480532,13.595621775486213,3.599570199416151,0.7649799453311759,72.93746704727603,0.16691117723776,8.806951286575408,0.0,0.0,3
276,1.516840819568071,13.43397437299509,3.405635460648972,1.2247547057069652,72.64104236404327,0.48247489444246694,8.675016737038355,0.015635460648972088,0.025016737038355358,3
277,1.521710689012527,14.251798129013675,3.837044426781853,0.8719703821454311,71.42655183124549,0.1206648486681143,9.30637957811374,0.0,0.19411301742261866,3
278,1.5161,13.369305198522126,3.4732258243569296,1.2875930686371662,72.67873448856047,0.5731017328407085,8.325632755719765,0.0,0.0,3
279,1.5203866386739946,13.37026582477429,0.0,1.431857300738691,72.3190241516005,0.34238895028726873,12.395578847578735,0.0,0.0,5
280,1.5214885393654662,11.812817892520698,1.8270846271468306,1.6795495460756786,72.72673165355498,0.5268350301015521,11.074869305263261,0.04703588698059485,0.09995125983376406,5
281,1.5211221590666342,12.955074994659523,0.31507499465952243,1.5163318204474754,73.40628182400779,0.14130682222763452,11.281759095116739,0.0,0.2673363591050494,5
282,1.520177995496145,12.747359009151879,0.10735900915187724,1.604453753693143,73.63288108092523,0.2986674173091839,11.44541411400155,0.0,0.09109249261371402,5
283,1.521244709158758,12.950941831751585,0.0,1.6227925897217363,73.1553237467751,0.3566793626186311,11.805960875679531,0.0,0.0,5
